#system	nodestatus	realm	custtag	role	eihostname	hostenv	systemtype	oslevel
p1vsx07	LIVE	g.ei.p1	SHARED		p1vsx07	PRD	SERVER.X3850	
p1vsx08	LIVE	g.ei.p1	SHARED		p1vsx08	PRD	SERVER.X3850	
p1vsx09	LIVE	g.ei.p1	SHARED		p1vsx09	PRD	SERVER.X3850	
p1vsx10	FLUX	g.ei.p1	SHARED		p1vsx10	PRD	SERVER.X3650	
p1vsx11	LIVE	g.ei.p1	SHARED		p1vsx11	PRD	SERVER.X3650	
p1vsx12	FLUX	g.ei.p1	SHARED		p1vsx12	PRD	SERVER.X3650	
p1vsx13	FLUX	g.ei.p1	SHARED		p1vsx13	PRD	SERVER.X3650	
p1vsx14	BAD	g.ei.p1	IBM		p1vsx14	PRD	SERVER.X3850	
p1vsx15	BAD	g.ei.p1	IBM		p1vsx15	PRD	SERVER.X3850	
p1vsx16	LIVE	g.ei.p1	SHARED		p1vsx16	PRD	SERVER.X3650	
p1vsx17	BAD	g.ei.p1	SHARED		p1vsx17	PRD	SERVER.X3630	
p1vsx18	BAD	g.ei.p1	SHARED		p1vsx18	PRD	SERVER.X3630	
p1vsx19	BAD	g.ei.p1	SHARED		p1vsx19	PRD	SERVER.X3630	
p1vsx20	BAD	g.ei.p1	SHARED		p1vsx20	PRD	SERVER.X3630	
p1vsx21	BAD	g.ei.p1	SHARED		p1vsx21	PRD	SERVER.X3630	
p1vsx22	BAD	g.ei.p1	SHARED		p1vsx22	PRD	SERVER.X3630	
p1vsx23	LIVE	g.ei.p1	SHARED		p1vsx23	PRD	SERVER.X3650	
p1vsx24	LIVE	g.ei.p1	SHARED		p1vsx24	PRD	SERVER.X3650	
p1vsx25	LIVE	g.ei.p1	SHARED		p1vsx25	PRD	SERVER.X3650	
p1vsx26	LIVE	g.ei.p1	SHARED		p1vsx26	PRD	SERVER.X3650	
p1vsx27	LIVE	g.ei.p1	SHARED		p1vsx27	PRD	SERVER.X3650	
p1vsx28	LIVE	g.ei.p1	SHARED		p1vsx28	PRD	SERVER.X3650	
p1vsx29	LIVE	g.ei.p1	SHARED		p1vsx29	PRD	SERVER.X3650	
p1vsx30	LIVE	g.ei.p1	SHARED		p1vsx30	PRD	SERVER.X3650	
p1vsx31	LIVE	g.ei.p1	SHARED		p1vsx31	PRD	SERVER.X3650	
p1vsx32	LIVE	g.ei.p1	SHARED		p1vsx32	PRD	SERVER.X3650	
p1vsx33	LIVE	g.ei.p1	SHARED		p1vsx33	PRD	SERVER.X3650	
p1vsx34	LIVE	g.ei.p1	SHARED		p1vsx34	PRD	SERVER.X3650	
p1vsx35	LIVE	g.ei.p1	SHARED		p1vsx35	PRD	SERVER.X3650	
